TSLA,GOOG,META,AAPL,MSFT,AMZN,NVDA,V,ORCL,CSCO
91401000,88739375,48191200,1065523200,36205500,57890000,16799600,17852400,13899900,41431800
89032500,95552818,92995600,502810000,52745900,67646000,16294400,16800000,16553600,35406500
128475000,204419353,150178900,678501600,35036300,209478000,20289600,20040400,12975500,42883000
97632000,223486554,87794600,464797200,93162300,323096000,33534800,24457200,17039700,43325300
101473500,183449044,74866600,401464000,64063100,205616000,43172800,21662400,21272600,60693300
70294500,112897588,45985500,376681200,54697900,96258000,28069200,14913600,16228000,46626500
109020000,96139007,51685100,328344800,55814400,88708000,21467600,13520800,11458400,46291400
87624000,78155853,42086500,257765200,35351800,66714000,16838000,12721600,14762200,49584300
133927500,105843245,60704300,370280400,33260500,86610000,15724800,12537200,13114700,54109200
194560500,78099643,43666100,345559200,26767000,68994000,32437200,10316800,10976900,45300500
160648500,82339476,45675600,282256800,32141400,64442000,23538400,9809600,12066100,45804800
77605500,69238554,47282100,308100800,27051800,131754000,74452800,14650800,12343200,69832400
120439500,73731331,61911700,307398000,37635500,83500000,90283600,13158800,11683200,153739400
92370000,87795852,36694900,272924400,31407500,70404000,81753600,12682000,15641400,64513500
139992000,84672187,43809900,260251600,32834000,99960000,42898800,13427200,10560300,31014400
242535000,84459392,62087100,313768000,29750400,83362000,45034000,9322000,12491400,29309100
270034500,68287001,130928900,305858000,27526100,69856000,39808800,8810000,11786000,26215000
117282000,74771214,70932400,278784800,38021300,84200000,45105200,9136000,13243600,31483000
124176000,67223027,76620300,288909600,32085100,72894000,40311200,10817200,10388100,41858000
490225500,57763704,52077000,231952000,30736500,74728000,24218400,11339600,11766400,45303600
369069000,79585191,55322700,276217200,41041800,72442000,36088400,10413600,11482900,43574600
269187000,50588912,41653700,301882000,33903400,62098000,38884800,8097600,14055700,25804000
218847000,92890878,66783700,371968800,41215000,77640000,32169200,14004000,19257800,40863200
196339500,84507572,56824100,238781200,29717500,55966000,37594800,16422800,13293700,37292900
131184000,58928052,42013500,259140000,26802400,54088000,26034400,14884800,13682100,35673900
89035500,49597208,74567700,200062800,20520100,76966000,24147200,11328400,11929200,28203400
